,Questions
933, Return all 76.0 years old vaccine recipients. 
12130, How many people received VARICELLA (NO BRAND NAME) vaccine and PNEUMO (VAXNEUVANCE) vaccine. 
7237, Which is the most common malabsorption for patients.
5072, Find the number of cases that the vaccine recipients had left shoulder mri test. 
183, Find all cases that receved on 01/23/2022. 
1835, Give me all the patients who have Myoglobin blood after the vaccination. 
1820, Give me all the patients who have Prostate infection after the vaccination. 
12653, List all records that had Cytomegalovirus test negative associated with the vaccination. 
5056, Find the number of cases that the vaccine recipients had excison test. 
11438, Find the most popular RL for people. 
10769, Find all the cases where the vaccine recipients got vaccinated in FJ1619. 
7332,Give me all the patients who was allergic to pvc 
10466, How many GLAXOSMITHKLINE BIOLOGICALS vaccine has been used. 
1109, How many patients are 100.0 years old.
7771, What is the number of vaccine recipients that had an allergic to insect?Which is The most common walnut sensitivity for patients?
1378,Give me all the patients whose cage months is 0.3. 
